3213;Stříbro;1;1;24;32;19;5%;24;47;60;31;46;22;20;13;32;26;21;31;18;10;148;103;39;50;32;30;25;30;26;22;30;284;0;176;108;284;46%;284;0;;Rumburk;4212;;7101;135;;7101;33
3214;Sušice;1;0;68;62;34;3%;65;13;112;62;43;46;55;33;36;45;23;51;5;12;43;122;55;41;43;50;33;19;26;9;30;304;0;221;83;304;11%;304;0;;Rychnov nad Kněžnou;5213;;7102;119;;7102;32
3215;Tachov;9;4;53;56;73;12%;18;178;24;122;100;106;74;63;83;82;68;93;21;25;149;364;87;71;75;51;43;55;54;43;62;542;0;328;214;542;49%;542;0;;Soběslav;3110;;7109;189;;7109;53
4101;Aš;5;3;14;3;26;19%;-8;32;0;21;32;39;29;27;37;39;26;54;13;9;30;94;12;20;25;18;16;24;25;15;36;191;0;90;100;191;34%;191;0;;Aš;4101;;0;1168;;0;374
4102;Cheb;43;16;85;47;108;40%;34;227;30;102;129;141;110;96;105;102;120;104;3;2;114;383;73;93;102;79;69;71;69;82;70;709;0;417;292;709;59%;709;0;;Cheb;4102;;3115;59;;3115;12
4103;Karlovy Vary;72;23;59;76;327;22%;-154;628;187;138;200;165;191;150;115;165;139;131;25;36;402;1120;111;157;131;151;120;66;103;84;78;1 001;0;670;331;1 001;56%;1001;0;;Karlovy Vary;4103;;3213;103;;3213;19
4104;Kraslice;1;1;9;50;15;7%;30;28;5;57;58;37;36;32;45;37;50;45;1;9;193;46;58;58;43;42;39;48;42;52;48;429;0;239;190;429;61%;429;0;;Kraslice;4104;;4202;187;;4202;64
4105;Mariánské Lázně;5;3;56;49;84;6%;0;10;11;40;40;30;40;38;54;44;51;23;15;8;178;343;10;10;2;10;8;19;11;16;-5;86;-5;40;41;81;3%;81;0;;Mariánské Lázně;4105;;5104;150;;5104;39
4106;Ostrov;16;5;59;54;31;52%;70;67;43;50;56;82;37;52;60;26;34;36;16;23;110;135;46;50;70;36;47;47;22;28;29;375;0;250;126;375;50%;375;0;;Ostrov;4106;;5308;51;;5308;16
4107;Sokolov;25;7;116;46;63;40%;84;157;39;201;181;192;162;127;130;116;150;163;17;14;381;241;179;164;173;150;124;120;110;135;145;1 301;0;790;510;1 301;65%;1301;0;;Rosice;6214;;6219;167;;6219;51
